Main Topics,Subtopics,Details,Links,Video Links
,,Q. Valid Mountain Array,https://leetcode.com/problems/valid-mountain-array/,
,,Q. Peak Index in Mountain Array,https://leetcode.com/problems/peak-index-in-a-mountain-array/,
,,Q. find in mountain array,https://leetcode.com/problems/find-in-mountain-array/,
,Binary Search on Rotated Sorted Array,Q. Search in rotated sorted array,https://leetcode.com/problems/search-in-rotated-sorted-array/,https://youtu.be/MiviQguOzfY
,,Q. Search in rotated sorted array - 2,https://leetcode.com/problems/search-in-rotated-sorted-array-ii/description/,
,,Q. Find minimum in rotated sorted array,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/,
,,Q. find k rotation,https://www.geeksforgeeks.org/problems/rotation4723/1,
,,Q. Find minimum in rotated sorted array - 2,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array-ii/,
,Binary Search on answer concept,Binary Search on answer concept,,https://youtu.be/TrR6Zfj-Cwg
,,Q. Allocated minimum number of pages,https://www.geeksforgeeks.org/problems/allocate-minimum-number-of-pages0937/1,
,,Q. Aggressive cows,https://www.geeksforgeeks.org/problems/aggressive-cows/1,
,,Q. Koko Eating bananas,https://leetcode.com/problems/koko-eating-bananas/description/,
,,Q. Capacity To Ship Packages Within D Days,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days/description/,
,Binary Search on two arrays,Q. Median of two sorted arrays,https://leetcode.com/problems/median-of-two-sorted-arrays/,https://youtu.be/2BOgAlmyTkc
,,Q. Kth element of two sorted arrays,https://www.geeksforgeeks.org/problems/k-th-element-of-two-sorted-array1317/1,https://youtu.be/SB6j8D95eHM
,Miscellaneous Questions on Binary Search,Q. Single Element in a Sorted Array ,https://leetcode.com/problems/single-element-in-a-sorted-array/description/,https://youtu.be/f09DayNeigg
,,Q. Finding square root ,https://leetcode.com/problems/sqrtx/description/,
,,Q. Count Squares ,https://www.geeksforgeeks.org/problems/count-squares3649/1,
,Other Searching Algorithms,Jump Search,,https://youtu.be/rFwBm-VT99A
,,Interpolation Search,,
,,Exponential Search,,
,,Ternary Search,,
Sorting Algorithms,Insertion Sort,Insertion Sort,,https://youtu.be/EHBeiIm59Yk
,Selection Sort,Selection Sort [Uni and Bi - directional],,https://youtu.be/CfEZKDoVRcw
,Bubble and Brick Sort,Bubble Sort and Brick Sort,,https://youtu.be/vXwKKzn6D4E
,Counting Sort,Counting Sort,,https://youtu.be/7jR_aiX5VTw
,Radix Sort,Radix Sort,,https://youtu.be/JkZ2B6LrYdQ
,Pigeonhole Sort,Pigeonhole Sort,,https://youtu.be/sWX1eMPYzSU
