Main Topics,Subtopics,Details,Links,Video Links
,Bit Manipulation,Bitwise Operators,,https://youtu.be/UTVvLfkuSEs
,,Bit Manipulation,,
,,Bit Masking,,
,,Advanced XoR problems of Bit Manipulation,,
Searching Algorithms,Searching Algorithms - 1,Linear Search,,https://youtu.be/slqFdKVMjeQ
,,Q. search an Element / first occurrence,,
,,Q. Find the minimum element in an array (1D/2D),,
,,Q. Find the maximum element in an array (1D/2D),,
,,Q. Find max sum 1D array in a 2D array,,
,,Q. Search all occurrences (1D/2D),,
,,Q. Search last occurrence (1D/2D),,
,Searching Algorithms - 2,Binary Search,,https://youtu.be/kOIECDEUzaI
,,Sorted in increasing,,
,,Sorted in decreasing,,
,,Order Agnostic Binary Search,,
,Questions on Binary Search Part 1,Q1. Ceiling of a Number,,https://youtu.be/P-vl_BrdxJA
,,Q2. Floor of a Number,,
,,Q3. First and Last Position of element in sorted array,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/description/,
,,Q4. Count all occurrence of element in an array,,
,,Q5. Find smallest letter greater than target,https://leetcode.com/problems/find-smallest-letter-greater-than-target/description/,
,Questions on Binary Search Part 2,Binary Search in range,,https://youtu.be/DoVawmdh5NM
,,Q6. Find Minimum Difference in a Sorted array.,,
,,Q7. Find an element in an array of Infinite size,,
,,Q8. Find first 1 in an infinite and sorted array of 0s and 1s,,
,Questions on Binary Search Part 3,Bitonic Array,,https://youtu.be/IK5eSvNw9Qw?si=f6gSi2LkYE4VAtSQ
,,Q9. Valid Mountain Array,https://leetcode.com/problems/valid-mountain-array/,
,,Q10. Peak Index in Mountain Array,https://leetcode.com/problems/peak-index-in-a-mountain-array/,
,,Q11. find in mountain array,https://leetcode.com/problems/find-in-mountain-array/,
,Questions on Binary Search Part 4,Q12. Search in rotated sorted array,https://leetcode.com/problems/search-in-rotated-sorted-array/,https://youtu.be/n12QcCu8oBI
,,Q13. Search in rotated sorted array - 2,https://leetcode.com/problems/search-in-rotated-sorted-array-ii/description/,
,,Q14. Find minimum in rotated sorted array,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/,
,,Q15. find k rotation,https://www.geeksforgeeks.org/problems/rotation4723/1,
,,Q16. Find minimum in rotated sorted array - 2,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array-ii/,
,Questions on Binary Search Part 5,Q14. Allocated minimum number of pages,https://www.geeksforgeeks.org/problems/allocate-minimum-number-of-pages0937/1,https://youtu.be/_4LmUWmmYbY
,,Q15. Capacity to Ship within D Days,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days/,
,,Q16. Koko Eating bananas,https://leetcode.com/problems/koko-eating-bananas/description/,https://youtu.be/BUFHoQIOnAs
,,Q17. Smallest Divisor given a threshold,https://leetcode.com/problems/find-the-smallest-divisor-given-a-threshold/description/,https://youtu.be/pSGtbhpuhbk
,,Q18. Minimize Maximum of products distributed to any store,https://leetcode.com/problems/minimized-maximum-of-products-distributed-to-any-store/description/,https://youtu.be/4O6wrTtUQvY
,,Q19. Aggressive cows,https://www.geeksforgeeks.org/problems/aggressive-cows/1,https://youtu.be/86xSPxfc4iQ
,,Q20. Median of two sorted arrays,https://leetcode.com/problems/median-of-two-sorted-arrays/,https://youtu.be/2BOgAlmyTkc
,,Q21. Kth element of two sorted arrays,https://www.geeksforgeeks.org/problems/k-th-element-of-two-sorted-array1317/1,https://youtu.be/SB6j8D95eHM
,Questions on Binary Search Part 6,Q22. Single Element in a Sorted Array ,https://leetcode.com/problems/single-element-in-a-sorted-array/description/,https://youtu.be/f09DayNeigg
,,Q23. Finding square root ,https://leetcode.com/problems/sqrtx/description/,
,,Q24. Count Squares ,https://www.geeksforgeeks.org/problems/count-squares3649/1,
,Other Searching Algorithms,Jump Search,,https://youtu.be/rFwBm-VT99A
,,Interpolation Search,,
,,Exponential Search,,
,,Ternary Search,,
Matrix,Questions on Matrix - 1,Q. Median of a Sorted Matrix,https://www.geeksforgeeks.org/problems/median-in-a-row-wise-sorted-matrix1527/1?itm_source=geeksforgeeks&itm_medium=article&itm_campaign=practice_card,https://youtu.be/aNIfGl1ZKQE
,,Q. Kth Smallest element of a Matrix,https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix/,https://youtu.be/HuOcDlB1uXk
,Questions on Matrix - 2,Q. Search a 2d matrix,https://leetcode.com/problems/search-a-2d-matrix/description/,https://youtu.be/EXcmeMx3Dq0
,,Q. Search a 2d matrix 2,https://leetcode.com/problems/search-a-2d-matrix-ii/,
,Questions on Matrix - 3,Q. Transpose a Matrix,https://www.geeksforgeeks.org/problems/transpose-of-matrix-1587115621/1,https://youtu.be/hA_yvtCpjsg
,,Q. Rotate image,https://leetcode.com/problems/rotate-image/,
,,Q. Rotate by 90 degree,https://www.geeksforgeeks.org/problems/rotate-by-90-degree0356/1,
,Questions on Matrix - 4,Q. Spiral Matrix - 1,https://leetcode.com/problems/spiral-matrix/,https://youtu.be/uAaoWcYX2_8
,,Q. Spiral Matrix - 2,https://leetcode.com/problems/spiral-matrix-ii/description/,
Sorting Algorithms,Sorting Algo,Insertion Sort,,https://youtu.be/EHBeiIm59Yk
,,Selection Sort [Uni and Bi - directional],,https://youtu.be/CfEZKDoVRcw
,,Bubble Sort and Brick Sort,,https://youtu.be/vXwKKzn6D4E
,,Counting Sort,,https://youtu.be/e644HVGFAJY
,,Radix Sort,,https://youtu.be/HuwgdPVEwCc
,,Pigeonhole Sort,,https://youtu.be/sWX1eMPYzSU
,,Cyclic Sort,,https://youtu.be/vJn71L7CPH4
,,Q. Find missing element in range of 0 to N,https://leetcode.com/problems/missing-number/description/,https://youtu.be/bIHpx5NN2bg
,,Q. Given an array [1 to N] return all elements in range [1 to N] that are absent in the array,https://leetcode.com/problems/find-all-duplicates-in-an-array/description/,https://youtu.be/xxFebE0VznM
,,Q. Find all duplicates in an array,https://leetcode.com/problems/find-all-duplicates-in-an-array/,https://youtu.be/Us63C10ozzw
,Questions on Duplicate Numbers,Q. Find the duplicate Number in an array [1 to N] ( inclusive ),,TBD
,,"Q. Given an array [1 to N] with elements appearing once or twice, return all elements that appear twice",,TBD
,,Q. Find the missing and repeating element in an array [1 to N],,TBD
,,Q. Return the smallest positive number missing,,TBD
Recursion,Recursion - I,playing with function calls,,TBD
,,Types of recursion,,
,,Q. convert decimal to binary,https://www.geeksforgeeks.org/problems/decimal-to-binary-1587115620/1,https://youtu.be/1uw8aVnD4VE?si=sdOxOm67SIhYdjR3
,,Q. reverse a number / string,https://leetcode.com/problems/reverse-string/description/,https://youtu.be/KMzcV4QsXdQ?si=NRQMzaA7pk0UPcv6
